Var1_1,Var1_2,s
0.5143631,-1.150298,CC(C)(C)C1=CC=C(CC(C)C(OCC)OCC)C=C1
0.6509638,-1.023999,CC(C)(C)C1=CC=C(CC(C=O)C)C=C1
0.635592,-1.186827,CC(C)(C)C1=CC=C(CCC=O)C=C1
0.4758998,-1.258034,CC(C)(C)C1=CC=C(CO)C=C1
0.2360346,-1.217314,CC(C)(C)C1C(CCCC1)OCC(O)CC
0.3261122,-1.335876,CC(C)(C)C1CCCCC1=O
0.04874208,-1.188472,CC(C)(C)C1CCCCC1OC(C)=O
0.3192817,-1.317853,CC(C)(C)[C@H]1CC[C@H](O)CC1
0.2008732,-1.157247,CC(C)(C)[C@H]1CC[C@H](OC(C)=O)CC1
0.5397739,-1.211882,CC(C)(C1=CC=C(C=O)C=C1)C
0.4058427,-1.333236,CC(C)(CC1=CN=CC=C1)C
0.4679525,-1.257847,CC(C)(O)CCC1=CC=CC=C1
0.4172718,-1.307394,CC(C)(O)CCC1CCCCC1
0.5069944,-1.345065,CC(C)(O)CCCC(C)C
0.4547128,-1.271298,CC(C)(O)[C@@H]1CCC2=CCC[C@@H](C)[C@]2(C)C1
0.2999784,-1.204202,CC(C)(OC(C)=O)CC1=CC=CC=C1
0.4599943,-1.106622,CC(C)([C@H](CC1)C)[C@@H](/C=C/C(C)=O)[C@@H]1C
0.4741966,-1.318003,CC(C)/C(C)=C/CC(C=O)C
0.3376032,-1.243521,CC(C)=C/C=C/C(C)=O
0.3424297,-1.300492,CC(C)=C1CCC(C)(O)CC1
0.2040993,-1.177746,CC(C)=C1CCC(C)(OC(C)=O)CC1
0.4107439,-1.343921,CC(C)=C1CCC(C)=CC1=O
0.3013181,-1.197839,CC(C)=CC(C(C)(O)C)C=C
0.2588292,-1.458117,CC(C)=CC(C)=O
0.2351168,-1.569239,CC(C)=CC(SC(CC)C)=O
0.3095178,-1.489418,CC(C)=CCC(C(C)=C)CO
0.3643615,-1.337024,CC(C)=CCC(C(OC)OC)(C)C
0.413118,-1.297522,CC(C)=CCC(C)(C(O)CC)C=C
0.4791464,-1.278144,CC(C)=CCC/C(C)=C/C(OC)OC
0.5148403,-1.307347,CC(C)=CCC/C(C)=C/C=O
0.5316026,-1.046439,CC(C)=CCC/C(C)=C/CC/C(C)=C/CO
0.5510252,-1.220518,CC(C)=CCC/C(C)=C/CCC(C)=CCCC(C=C)(O)C
0.5138283,-1.181853,CC(C)=CCC/C(C)=C/CCC(C=C)(O)C
0.4803543,-1.2195,CC(C)=CCC/C(C)=C/CCC(C=C)=C
0.6194068,-1.301038,CC(C)=CCC/C(C)=C/CCC(C=O)C
0.447887,-1.276023,CC(C)=CCC/C(C)=C/CCC1=COC=C1
0.2711393,-1.148402,CC(C)=CCC/C(C)=C/COC(/C(C)=C/C)=O
0.2869409,-1.103628,CC(C)=CCC/C(C)=C/COC(/C=C/C)=O
0.301262,-1.366339,CC(C)=CCC/C(C)=C/COC(C(C)C)=O
0.3307773,-1.398737,CC(C)=CCC/C(C)=C/COC(CC(C)C)=O
0.4571807,-1.322548,CC(C)=CCC/C(C)=C/COC(CC)=O
0.4443541,-1.334176,CC(C)=CCC/C(C)=C/COC(CCC)=O
0.4866498,-1.456019,CC(C)=CCC/C(C)=C\C=O
0.5367977,-1.456839,CC(C)=CCC/C(C)=C\CCC(O)(C)C=C
0.4841258,-1.4519,CC(C)=CCC/C(C)=C\CCC(OC(C)=O)C
0.3056262,-1.273118,CC(C)=CCC/C(C)=C\COC(/C=C/C)=O
0.4207968,-1.413651,CC(C)=CCCC(C)(O)C
0.4583948,-1.200947,CC(C)=CCCC(C)=CCC=C(C=C)C
0.5115494,-1.352976,CC(C)=CCCC(C)=CCCC(C)=O
0.3756689,-1.308939,CC(C)=CCCC(C)=CCOC(C1=CC=CC=C1)=O
0.3907613,-1.40428,CC(C)=CCCC(C)=O
